,School Name,SED Code,Location Code,Community School?,Economic Need Index,School Income Estimate,Percent ELL,Percent Asian,Percent Black,Percent Hispanic,Percent Black / Hispanic,Percent White,Student Attendance Rate,Percent of Students Chronically Absent,Rigorous Instruction Rating,Collaborative Teachers Rating,Supportive Environment Rating,Effective School Leadership Rating,Strong Family-Community Ties Rating,Trust Rating,Student Achievement Rating,Average ELA Proficiency,Average Math Proficiency,Number of students who registered for the SHSAT,Number of students who took the SHSAT,AllTested,All4,Native4,AfricanAmerican4,Latino4,Islander4,White4,Multiracial4,LimitedEnglish4,Disadv4,AllMath4Tested,AllMath4,NativeMath4,AfricanAmericanMath4,LatinoMath4,IslanderMath4,WhiteMath4,MultiracialMath4,LimitedEnglishMath4,DisadvMath4,Count of Students in HS Admissions,Count of Testers,Count of Offers
290,P.S. 333 - THE MUSEUM SCHOOL,320800010333,08X333,No,0.915,"$26,448.84 ",24%,0%,20%,77%,97%,2%,89%,46%,Approaching Target,Approaching Target,Approaching Target,Not Meeting Target,Approaching Target,Approaching Target,Meeting Target,2.22,2.21,,,27.5,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.16666666666666666,27.833333333333332,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,,,
291,THE ACADEMY OF THE ARTS,320800010335,08X335,No,0.8909999999999999,"$25,876.53 ",18%,1%,30%,67%,96%,1%,92%,34%,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,2.27,2.54,,,18.0,0.3333333333333333,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.16666666666666666,18.5,1.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8333333333333334,,,
292,THE SCHOOL FOR INQUIRY AND SOCIAL JUSTICE,320800010337,08X337,No,0.7809999999999999,,9%,4%,28%,68%,96%,1%,93%,20%,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,2.67,2.77,,,70.66666666666667,6.0,0.0,0.3333333333333333,3.3333333333333335,0.0,0.0,0.0,0.0,3.6666666666666665,68.66666666666667,13.166666666666666,0.0,1.8333333333333333,8.5,0.0,0.0,0.0,0.0,8.833333333333334,157.0,39.0,5.0
293,"ARCHIMEDES ACADEMY FOR MATH, SCIENCE AND TECHNOLOGY APPLICATIONS",320800011367,08X367,No,0.723,,7%,8%,32%,58%,90%,1%,93%,24%,Meeting Target,Approaching Target,Meeting Target,Not Meeting Target,Approaching Target,Approaching Target,Meeting Target,2.46,2.39,,,42.666666666666664,2.6666666666666665,0.0,1.0,0.8333333333333334,0.0,0.0,0.0,0.0,2.1666666666666665,39.5,1.1666666666666667,0.0,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,0.0,0.8333333333333334,97.0,30.0,5.0
294,URBAN INSTITUTE OF MATHEMATICS,320800010371,08X371,Yes,0.56,,3%,5%,15%,59%,74%,21%,93%,25%,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,2.74,2.47,,,47.833333333333336,7.0,0.0,0.16666666666666666,3.1666666666666665,0.0,2.3333333333333335,0.0,0.0,4.166666666666667,48.166666666666664,3.3333333333333335,0.0,0.16666666666666666,0.8333333333333334,0.0,1.5,0.0,0.0,1.3333333333333333,112.0,39.0,5.0
295,THE BRONX MATHEMATICS PREPARATORY SCHOOL,320800010375,08X375,Yes,0.818,,17%,2%,33%,63%,97%,0%,89%,40%,Not Meeting Target,Not Meeting Target,Approaching Target,Not Meeting Target,Approaching Target,Approaching Target,Approaching Target,2.17,2.01,,,38.666666666666664,0.5,0.0,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,36.5,0.5,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.5,73.0,17.0,5.0
296,ANTONIA PANTOJA PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL,320800011376,08X376,No,0.7559999999999999,,11%,7%,22%,68%,91%,1%,90%,32%,,,Approaching Target,,Approaching Target,Approaching Target,Meeting Target,2.33,2.15,,,29.333333333333332,1.5,0.0,0.16666666666666666,1.1666666666666667,0.0,0.0,0.0,0.0,1.3333333333333333,29.5,0.8333333333333334,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666,47.0,9.0,5.0
297,THE HUNTS POINT SCHOOL,320800010424,08X424,Yes,0.8759999999999999,,27%,0%,21%,77%,98%,1%,90%,35%,Approaching Target,Not Meeting Target,Approaching Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,2.11,2.02,,,45.666666666666664,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,49.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,110.0,5.0,5.0
298,SOUNDVIEW ACADEMY FOR CULTURE AND SCHOLARSHIP,320800010448,08X448,No,0.802,,11%,2%,31%,65%,96%,1%,91%,31%,Meeting Target,Exceeding Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Exceeding Target,2.31,2.33,,,56.166666666666664,2.1666666666666665,0.0,0.16666666666666666,1.5,0.0,0.0,0.0,0.0,1.1666666666666667,51.666666666666664,1.1666666666666667,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.3333333333333333,121.0,19.0,5.0
299,MOTT HALL COMMUNITY SCHOOL,320800010467,08X467,No,0.639,,6%,4%,10%,69%,79%,18%,92%,31%,Approaching Target,Meeting Target,Approaching Target,Not Meeting Target,Approaching Target,Approaching Target,Approaching Target,2.28,2.22,,,36.666666666666664,1.0,0.0,0.16666666666666666,0.6666666666666666,0.0,0.16666666666666666,0.0,0.0,0.6666666666666666,31.0,0.6666666666666666,0.0,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.5,115.0,21.0,5.0
300,BLUEPRINT MIDDLE SCHOOL,320800010562,08X562,No,0.7959999999999999,,15%,23%,18%,56%,74%,1%,92%,29%,Meeting Target,Meeting Target,Approaching Target,Exceeding Target,Meeting Target,Meeting Target,Approaching Target,2.23,2.17,,,46.333333333333336,1.0,0.0,0.0,0.3333333333333333,0.5,0.0,0.0,0.0,0.8333333333333334,46.666666666666664,2.0,0.0,0.0,0.16666666666666666,1.8333333333333333,0.0,0.0,0.0,1.5,95.0,29.0,5.0
301,P.S./M.S. 004 CROTONA PARK WEST,320900010004,09X004,No,0.903,"$28,830.61 ",12%,1%,53%,45%,98%,1%,88%,44%,Meeting Target,Meeting Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,2.28,2.45,,,55.166666666666664,2.1666666666666665,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,56.333333333333336,5.5,0.0,2.3333333333333335,1.5,0.0,0.0,0.0,0.5,0.0,62.0,7.0,5.0
302,P.S. 011 HIGHBRIDGE,320900010011,09X011,No,0.9229999999999999,"$26,475.48 ",25%,0%,30%,69%,99%,0%,92%,33%,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,2.31,2.32,,,56.666666666666664,2.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,57.333333333333336,3.5,0.0,0.0,3.1666666666666665,0.0,0.0,0.0,1.3333333333333333,0.0,,,
303,J.H.S. 022 JORDAN L. MOTT,320900010022,09X022,Yes,0.877,,37%,1%,25%,72%,98%,1%,90%,34%,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,Approaching Target,2.05,1.91,,,61.5,1.1666666666666667,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,65.83333333333333,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,149.0,24.0,5.0
304,P.S. 028 MOUNT HOPE,320900010028,09X028,No,0.922,"$25,532.54 ",32%,1%,18%,81%,98%,1%,91%,33%,Meeting Target,Approaching Target,Meeting Target,Not Meeting Target,Meeting Target,Not Meeting Target,Exceeding Target,2.28,2.47,,,52.833333333333336,3.3333333333333335,0.0,0.0,2.8333333333333335,0.0,0.0,0.0,0.0,3.0,54.5,6.333333333333333,0.0,0.0,4.833333333333333,0.0,0.0,0.0,0.16666666666666666,4.0,,,
305,P.S. 035 FRANZ SIEGEL,320900010035,09X035,No,0.8340000000000001,"$27,766.12 ",25%,1%,29%,68%,97%,1%,93%,23%,Approaching Target,Exceeding Target,Meeting Target,Approaching Target,Approaching Target,Meeting Target,Meeting Target,2.28,2.48,,,56.666666666666664,1.8333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.8333333333333334,59.166666666666664,3.1666666666666665,0.0,0.6666666666666666,1.8333333333333333,0.0,0.0,0.0,0.0,1.6666666666666667,,,
306,P.S. 042 CLAREMONT,320900010042,09X042,Yes,0.935,"$24,249.23 ",16%,0%,41%,56%,97%,2%,90%,37%,Approaching Target,Exceeding Target,Approaching Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,2.18,2.25,,,32.666666666666664,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,34.166666666666664,1.6666666666666667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6666666666666666,,,
307,P.S. 053 BASHEER QUISIM,320900010053,09X053,No,0.919,"$23,994.98 ",25%,1%,33%,64%,97%,2%,90%,42%,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Exceeding Target,2.42,2.63,,,92.0,9.166666666666666,0.0,4.0,4.833333333333333,0.0,0.0,0.0,0.16666666666666666,7.166666666666667,95.5,13.0,0.0,4.333333333333333,8.5,0.0,0.0,0.0,1.3333333333333333,10.833333333333334,,,
308,P.S. 055 BENJAMIN FRANKLIN,320900010055,09X055,Yes,0.9390000000000001,"$19,445.65 ",11%,0%,47%,52%,99%,0%,92%,28%,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,Approaching Target,2.04,2.15,,,54.333333333333336,0.5,0.0,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,0.0,0.5,54.333333333333336,0.6666666666666666,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,,,
309,P.S. 058,320900010058,09X058,No,0.91,"$25,416.20 ",20%,0%,26%,71%,97%,1%,90%,43%,Approaching Target,Approaching Target,Approaching Target,Not Meeting Target,Not Meeting Target,Not Meeting Target,Meeting Target,2.17,2.32,,,33.833333333333336,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.16666666666666666,36.166666666666664,1.5,0.0,0.0,1.5,0.0,0.0,0.0,0.16666666666666666,1.3333333333333333,,,
310,P.S. 063 AUTHOR'S ACADEMY,320900010063,09X063,No,0.89,"$25,772.81 ",19%,0%,36%,61%,97%,3%,90%,39%,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,2.55,2.65,,,43.5,3.5,0.0,0.0,2.3333333333333335,0.0,0.0,0.0,0.16666666666666666,0.0,46.5,5.833333333333333,0.0,0.0,4.166666666666667,0.0,0.0,0.0,0.0,0.5,,,
311,P.S. 070 MAX SCHOENFELD,320900010070,09X070,No,0.9159999999999999,"$28,190.58 ",25%,1%,25%,74%,98%,1%,91%,37%,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,2.1,2.26,,,108.0,2.3333333333333335,0.0,0.5,1.5,0.0,0.0,0.0,0.0,0.0,111.83333333333333,4.833333333333333,0.0,0.3333333333333333,4.166666666666667,0.0,0.0,0.0,0.6666666666666666,0.0,,,
312,P.S. 073 BRONX,320900010073,09X073,No,0.8909999999999999,"$22,580.13 ",22%,0%,25%,74%,99%,1%,90%,41%,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,2.07,2.1,,,56.833333333333336,0.5,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.5,57.5,1.1666666666666667,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.16666666666666666,1.1666666666666667,,,
313,P.S. X088 - S. SILVERSTEIN LITTLE SPARROW SCHOOL,320900010088,09X088,No,0.87,"$22,255.01 ",15%,1%,31%,68%,98%,0%,94%,17%,,,,,,,,,,,,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.166666666666667,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,,,
314,P.S. 109 SEDGWICK,320900010109,09X109,No,0.8740000000000001,"$26,397.05 ",25%,0%,20%,80%,99%,1%,91%,32%,Approaching Target,Approaching Target,Approaching Target,Not Meeting Target,Approaching Target,Approaching Target,Approaching Target,2.19,2.17,,,58.5,1.8333333333333333,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.16666666666666666,58.833333333333336,1.6666666666666667,0.0,0.0,1.1666666666666667,0.0,0.0,0.0,0.16666666666666666,0.5,,,
315,P.S. 110 THEODORE SCHOENFELD,320900010110,09X110,No,0.91,"$21,689.93 ",12%,0%,42%,52%,95%,5%,93%,25%,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,2.33,2.4,,,31.333333333333332,1.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.6666666666666666,32.666666666666664,2.3333333333333335,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.8333333333333334,,,
316,P.S. X114 - LUIS LLORENS TORRES SCHOOLS,320900010114,09X114,No,0.904,"$26,823.06 ",33%,4%,22%,71%,93%,2%,92%,31%,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,2.07,2.19,,,64.33333333333333,1.8333333333333333,0.0,0.16666666666666666,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,68.0,2.8333333333333335,0.0,1.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,,,
317,I.S. 117 JOSEPH H. WADE,320900010117,09X117,Yes,0.9,,41%,2%,17%,80%,97%,1%,89%,39%,Approaching Target,Approaching Target,Approaching Target,Not Meeting Target,Meeting Target,Approaching Target,Approaching Target,2.04,2.0,,,87.33333333333333,1.3333333333333333,0.0,0.0,1.1666666666666667,0.0,0.0,0.0,0.0,1.1666666666666667,86.66666666666667,0.3333333333333333,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,175.0,5.0,5.0
318,P.S. 126 DR MARJORIE H DUNBAR,320900010126,09X126,No,0.91,"$22,701.33 ",22%,1%,26%,71%,97%,2%,91%,36%,Approaching Target,Approaching Target,Meeting Target,Approaching Target,Not Meeting Target,Approaching Target,Approaching Target,2.27,2.17,,,47.166666666666664,2.1666666666666665,0.0,0.16666666666666666,1.1666666666666667,0.0,0.0,0.0,0.0,1.3333333333333333,48.666666666666664,1.5,0.0,0.16666666666666666,1.1666666666666667,0.0,0.0,0.0,0.16666666666666666,0.0,,,
319,MOTT HALL III,320900010128,09X128,No,0.852,,5%,2%,45%,53%,98%,0%,95%,11%,Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,2.71,2.95,,,59.333333333333336,9.666666666666666,0.0,1.1666666666666667,3.6666666666666665,0.0,0.0,0.0,0.0,9.166666666666666,54.166666666666664,8.5,0.0,2.5,1.3333333333333333,0.0,0.0,0.0,0.0,7.666666666666667,118.0,68.0,5.0
320,P.S. 132 GARRET A. MORGAN,320900010132,09X132,No,0.9279999999999999,"$22,702.97 ",13%,0%,44%,54%,98%,0%,89%,44%,Meeting Target,Approaching Target,Approaching Target,Not Meeting Target,Not Meeting Target,Not Meeting Target,Approaching Target,2.07,2.18,,,33.833333333333336,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,34.333333333333336,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.16666666666666666,,,
321,J.H.S. 145 ARTURO TOSCANINI,320900010145,09X145,Yes,0.888,,43%,1%,29%,69%,98%,0%,89%,43%,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,Approaching Target,Approaching Target,2.09,1.98,,,41.5,0.3333333333333333,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,47.833333333333336,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,,,
322,P.S. 163 ARTHUR A. SCHOMBURG,320900010163,09X163,No,0.9279999999999999,"$25,534.74 ",32%,1%,37%,60%,97%,1%,93%,26%,Approaching Target,Approaching Target,Approaching Target,Not Meeting Target,Approaching Target,Not Meeting Target,Meeting Target,2.3,2.42,,,41.166666666666664,2.3333333333333335,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,43.5,1.8333333333333333,0.0,0.5,0.8333333333333334,0.0,0.0,0.0,0.0,0.3333333333333333,,,
323,P.S. 199X - THE SHAKESPEARE SCHOOL,320900010199,09X199,No,0.9009999999999999,"$26,634.37 ",29%,0%,30%,67%,97%,1%,91%,34%,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,2.21,2.31,,,61.666666666666664,1.5,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,1.0,62.833333333333336,3.6666666666666665,0.0,0.16666666666666666,2.5,0.0,0.0,0.0,0.0,1.3333333333333333,,,
324,P.S. 204 MORRIS HEIGHTS,320900010204,09X204,No,0.865,"$21,870.00 ",10%,1%,29%,67%,96%,2%,94%,18%,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,2.46,2.65,,,47.0,5.333333333333333,0.0,0.6666666666666666,3.5,0.0,0.0,0.0,0.0,3.0,48.0,9.0,0.0,1.6666666666666667,5.5,0.0,0.0,0.0,0.16666666666666666,5.5,,,
325,KAPPA,320900010215,09X215,No,0.8390000000000001,,15%,6%,45%,48%,93%,0%,95%,12%,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Approaching Target,Meeting Target,Meeting Target,2.48,2.67,,,43.0,3.8333333333333335,0.0,1.1666666666666667,2.1666666666666665,0.0,0.0,0.0,0.16666666666666666,2.6666666666666665,34.833333333333336,3.0,0.0,0.3333333333333333,1.8333333333333333,0.0,0.0,0.0,0.16666666666666666,2.0,80.0,25.0,5.0
326,P.S./I.S. 218 RAFAEL HERNANDEZ DUAL LANGUAGE MAGNET SCHOOL,320900010218,09X218,No,0.861,"$25,919.64 ",31%,4%,5%,89%,94%,1%,94%,18%,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Approaching Target,Meeting Target,Meeting Target,2.45,2.56,,,99.83333333333333,4.833333333333333,0.0,0.0,3.8333333333333335,0.3333333333333333,0.0,0.0,0.0,3.3333333333333335,94.83333333333333,6.5,0.0,0.16666666666666666,5.166666666666667,0.3333333333333333,0.0,0.0,0.16666666666666666,4.666666666666667,97.0,63.0,5.0
327,I.S. 219 NEW VENTURE SCHOOL,320900010219,09X219,Yes,0.929,,31%,1%,37%,61%,98%,1%,90%,35%,Approaching Target,Not Meeting Target,Approaching Target,Not Meeting Target,Approaching Target,Approaching Target,Approaching Target,1.98,1.92,,,45.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,48.5,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,107.0,7.0,5.0
328,I.S. 229 ROLAND PATTERSON,320900010229,09X229,No,0.885,,20%,1%,35%,63%,98%,1%,90%,38%,Approaching Target,Approaching Target,Approaching Target,Not Meeting Target,Meeting Target,Approaching Target,Approaching Target,2.1,1.99,,,38.666666666666664,0.6666666666666666,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.6666666666666666,41.166666666666664,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.16666666666666666,83.0,5.0,5.0
329,EAGLE ACADEMY FOR YOUNG MEN,320900011231,09X231,No,0.705,,4%,0%,58%,39%,97%,0%,94%,18%,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Approaching Target,2.21,2.13,,,30.666666666666668,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,26.333333333333332,0.6666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,59.0,7.0,5.0
330,I.S. 232,320900010232,09X232,No,0.872,,39%,0%,20%,79%,99%,1%,93%,25%,Approaching Target,Approaching Target,Meeting Target,Not Meeting Target,Approaching Target,Approaching Target,Meeting Target,2.16,2.27,,,76.0,2.0,0.0,0.0,1.8333333333333333,0.0,0.0,0.0,0.0,1.5,69.66666666666667,1.5,0.0,0.0,1.1666666666666667,0.0,0.0,0.0,0.0,1.5,171.0,41.0,5.0
331,P.S. 236 LANGSTON HUGHES,320900010236,09X236,No,0.882,"$26,958.39 ",12%,0%,29%,68%,98%,2%,93%,20%,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,2.19,2.28,,,26.0,1.3333333333333333,0.0,0.3333333333333333,0.8333333333333334,0.0,0.0,0.0,0.0,1.0,25.833333333333332,1.5,0.0,0.16666666666666666,1.1666666666666667,0.0,0.0,0.0,0.0,1.3333333333333333,,,
332,"URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE, THE",320900011241,09X241,No,0.8220000000000001,,11%,1%,34%,64%,98%,1%,92%,26%,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Approaching Target,Meeting Target,Meeting Target,2.23,2.47,,,41.0,1.0,0.0,0.3333333333333333,0.5,0.0,0.0,0.0,0.0,0.5,32.5,1.6666666666666667,0.0,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,82.0,13.0,5.0
333,THE NEW AMERICAN ACADEMY AT ROBERTO CLEMENTE STATE PARK,320900010274,09X274,No,0.934,"$20,772.06 ",17%,0%,39%,59%,98%,1%,88%,53%,,,,,,,,,,,,33.0,2.1666666666666665,0.0,0.0,1.5,0.0,0.0,0.0,0.0,1.8333333333333333,34.5,1.3333333333333333,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,1.3333333333333333,,,
334,THE WALTON AVENUE SCHOOL,320900010294,09X294,No,0.9159999999999999,"$25,806.36 ",28%,1%,22%,73%,95%,3%,92%,30%,,,,,,,,,,,,24.5,4.5,0.0,0.0,4.166666666666667,0.0,0.0,0.0,0.16666666666666666,3.8333333333333335,25.166666666666668,5.833333333333333,0.0,0.0,4.5,0.0,0.0,0.0,1.0,2.5,,,
335,I.S. X303 LEADERSHIP & COMMUNITY SERVICE,320900010303,09X303,No,0.9009999999999999,,16%,0%,23%,75%,98%,1%,92%,27%,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,2.27,2.29,,,47.666666666666664,1.1666666666666667,0.0,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666,47.5,1.3333333333333333,0.0,0.16666666666666666,1.0,0.0,0.0,0.0,0.0,0.6666666666666666,131.0,16.0,5.0
336,LUCERO ELEMENTARY SCHOOL,320900010311,09X311,No,0.929,"$25,044.32 ",54%,1%,10%,87%,97%,1%,91%,33%,,,,,,,,,,,,22.833333333333332,0.3333333333333333,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,24.333333333333332,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.16666666666666666,,,
337,I.S. 313 SCHOOL OF LEADERSHIP DEVELOPMENT,320900010313,09X313,Yes,0.8809999999999999,,32%,1%,32%,67%,99%,0%,89%,42%,Not Meeting Target,Approaching Target,Approaching Target,Not Meeting Target,Approaching Target,Not Meeting Target,Meeting Target,2.05,2.05,,,43.0,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,47.166666666666664,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,105.0,9.0,5.0
338,BRONX WRITING ACADEMY,320900010323,09X323,No,0.892,,27%,3%,30%,66%,95%,1%,87%,45%,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Approaching Target,Meeting Target,Meeting Target,2.21,2.17,,,67.66666666666667,1.6666666666666667,0.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,1.1666666666666667,70.66666666666667,1.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.3333333333333333,158.0,29.0,5.0
339,BRONX EARLY COLLEGE ACADEMY FOR TEACHING & LEARNING,320900011324,09X324,Yes,0.8190000000000001,,14%,3%,29%,66%,95%,2%,93%,23%,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,2.17,2.16,,,32.666666666666664,0.6666666666666666,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.16666666666666666,32.833333333333336,0.8333333333333334,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.16666666666666666,65.0,13.0,5.0
340,URBAN SCIENCE ACADEMY,320900010325,09X325,Yes,0.8909999999999999,,36%,1%,30%,67%,97%,1%,90%,36%,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,Meeting Target,Approaching Target,2.0,1.97,,,43.0,0.6666666666666666,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,45.333333333333336,0.3333333333333333,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,115.0,16.0,5.0
341,COMPREHENSIVE MODEL SCHOOL PROJECT M.S. 327,320900010327,09X327,No,0.862,,10%,0%,22%,77%,99%,1%,94%,21%,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,2.64,3.03,,,47.166666666666664,3.5,0.0,0.0,3.1666666666666665,0.0,0.0,0.0,0.0,3.1666666666666665,46.833333333333336,10.666666666666666,0.0,0.0,8.5,0.0,0.0,0.0,0.0,10.0,105.0,15.0,5.0
342,NEW MILLENNIUM BUSINESS ACADEMY MIDDLE SCHOOL,320900010328,09X328,Yes,0.938,,25%,1%,33%,65%,98%,0%,90%,38%,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,2.1,2.0,,,28.5,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.16666666666666666,28.5,0.5,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,74.0,21.0,5.0
343,I.S. 339,320900010339,09X339,Yes,0.9129999999999999,,28%,1%,28%,70%,98%,1%,91%,31%,Approaching Target,Approaching Target,Approaching Target,Not Meeting Target,Approaching Target,Not Meeting Target,Approaching Target,2.05,2.04,,,73.16666666666667,1.1666666666666667,0.0,0.16666666666666666,0.8333333333333334,0.0,0.0,0.0,0.0,0.6666666666666666,77.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,172.0,27.0,5.0
344,NEW DIRECTIONS SECONDARY SCHOOL,320900011350,09X350,No,0.92,,34%,0%,30%,67%,98%,0%,66%,74%,Approaching Target,Not Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Approaching Target,1.9,1.91,,,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,5.0,5.0
